ROM loaded successfully. size of ROM is 1301 bytes.
---LOG START---
IR: LD VE, 00 | I: 0x4DD | SP: 0 | V: 40 00 08 00 00 00 00 00 00 05 00 00 15 00 00 00 
IR: CALL 391 | I: 0x4DD | SP: 1 | V: 40 00 08 00 00 00 00 00 00 05 00 00 15 00 00 00 
IR: LD VA, 00 | I: 0x4DD | SP: 1 | V: 40 00 08 00 00 00 00 00 00 05 00 00 15 00 00 00 
IR: LD VD, VE | I: 0x4DD | SP: 1 | V: 40 00 08 00 00 00 00 00 00 05 00 00 15 00 00 00 
IR: LD VB, 04 | I: 0x4DD | SP: 1 | V: 40 00 08 00 00 00 00 00 00 05 00 04 15 00 00 00 
ROM loaded successfully. size of ROM is 1301 bytes.
ROM loaded successfully. size of ROM is 1301 bytes.
ROM loaded successfully. size of ROM is 1301 bytes.
---LOG START---
IR: LD VA, 00 | I: 0x4DD | SP: 1 | V: 40 00 08 00 00 00 00 00 00 05 00 00 15 00 00 00 
IR: LD VD, VE | I: 0x4DD | SP: 1 | V: 40 00 08 00 00 00 00 00 00 05 00 00 15 00 00 00 
IR: LD VB, 04 | I: 0x4DD | SP: 1 | V: 40 00 08 00 00 00 00 00 00 05 00 04 15 00 00 00 
ROM loaded successfully. size of ROM is 1301 bytes.
---LOG START---
IR: LD VD, VE | I: 0x4DD | SP: 1 | V: 40 00 08 00 00 00 00 00 00 05 00 00 15 00 00 00 
IR: LD VB, 04 | I: 0x4DD | SP: 1 | V: 40 00 08 00 00 00 00 00 00 05 00 04 15 00 00 00 
---LOG END---
Emulator Terminated Safely.
ROM loaded successfully. size of ROM is 1301 bytes.
---LOG START---
IR: LD VD, VE | I: 0x4DD | SP: 1 | V: 40 00 08 00 00 00 00 00 00 05 00 00 15 00 00 00 
IR: LD VB, 04 | I: 0x4DD | SP: 1 | V: 40 00 08 00 00 00 00 00 00 05 00 04 15 00 00 00 
ROM loaded successfully. size of ROM is 1301 bytes.
ROM loaded successfully. size of ROM is 1301 bytes.
Emulator Terminated Safely.
ROM loaded successfully. size of ROM is 1301 bytes.
ROM loaded successfully. size of ROM is 132 bytes.
ROM loaded successfully. size of ROM is 1301 bytes.
ROM loaded successfully. size of ROM is 132 bytes.
ROM loaded successfully. size of ROM is 132 bytes.
ROM loaded successfully. size of ROM is 1301 bytes.
Emulator Terminated Safely.
ROM loaded successfully. size of ROM is 1301 bytes.
ROM loaded successfully. size of ROM is 1301 bytes.
ROM loaded successfully. size of ROM is 1301 bytes.
ROM loaded successfully. size of ROM is 1301 bytes.
ROM loaded successfully. size of ROM is 132 bytes.
ROM loaded successfully. size of ROM is 132 bytes.
ROM loaded successfully. size of ROM is 34 bytes.
ROM loaded successfully. size of ROM is 34 bytes.
ROM loaded successfully. size of ROM is 1301 bytes.
ROM loaded successfully. size of ROM is 1301 bytes.
ROM loaded successfully. size of ROM is 1301 bytes.
ROM loaded successfully. size of ROM is 1301 bytes.
ROM loaded successfully. size of ROM is 1301 bytes.
ROM loaded successfully. size of ROM is 1301 bytes.
ROM loaded successfully. size of ROM is 1301 bytes.
ROM loaded successfully. size of ROM is 1301 bytes.
ROM loaded successfully. size of ROM is 1301 bytes.
ROM loaded successfully. size of ROM is 1301 bytes.
ROM loaded successfully. size of ROM is 1301 bytes.
